번호,구분,국가구분,국가,주소(URL),영문기관명,등록아이디,내용,파일경로,이미지이름,등록일자,수정일자,등록아이피,수정아이피,사용여부,삭제여부,국문기관명
20,3,1,대한민국,https://ksnre.jams.or.kr/ ,KSNRE,REN_HOME,"한국신·재생에너지학회는 산업통상자원부 산하의 사단법인으로 사회 일반의 이익에 공여하기 위하여 태양광, 태양열, 풍력, 수소/연료전지, 소수력, 바이오 에너지, 지열, 해양, 폐기물에너지, 석탄가스화/액화, 가스 하이드레이트, 그린카, 녹색에너지 전략, 환경 및 저탄소 관련기술 등의 신재생에너지에 관한 학문 및 기술적인 연구개발, 정보교환 및 보급 등 제반 산·학·연 협동을 통하여 신·재생에너지를 널리 보급함으로써 국가 에너지사업에 이바지하고 있는 공익법인 입니다.",20,한국신재생에너지학회.png,2017-12-01,2020-02-05 16:51,107,41,Y,N,한국신·재생에너지학회
21,3,1,대한민국,http://www.knrea.or.kr/,KNREA,REN_HOME,재생에너지 산업의 기술개발 촉진 및 보급확대를 통하여 산업의 발전과 육성 그리고 국민경제의 건전한 발전에 이바지함과 동시에 신재생에너지 업계의 공동 이익을 보호하고 육성하기 위한 목적으로 설립,21,한국신재생에너지협회.png,2017-12-01,,107,,Y,N,한국신·재생에너지협회
4,1,1,대한민국,http://www.motie.go.kr/,motie,REN_HOME,"상업·무역·공업·통상, 통상교섭 및 통상교섭에 관한 총괄·조정, 외국인 투자, 산업기술 연구개발정책 및 에너지·지하자원에 관한 사무를 관장하는 중앙행정기관.",4,산업통상자원부.png,2017-11-07,2017-12-01,13,107,Y,N,산업통상자원부
6,1,1,한국,http://www.greengrowth.go.kr/,Green Growth Korea,REN_HOME,녹색성장위원회입니다.,6,sitelogo_02.gif,2017-11-07,,13,,Y,Y,녹색성장위원회
7,1,1,한국,https://www.kimm.re.kr/,KIMM,REN_HOME,한국기계연구원,7,sitelogo_03.gif,2017-11-07,,13,,Y,Y,한국기계연구원
13,2,1,대한민국,http://www.kiost.ac.kr/,KORDI,REN_HOME,우리나라 해양개발에 관한 국가정책 수립 및 구현과 산업계 기술지원에 필요한 연구를 수행하는 해양수산부 산하의 연구기관이다.,13,한국해양과학기술원.png,2017-12-01,2017-12-01,107,107,Y,N,한국해양연구원
14,1,1,대한민국,http://www.me.go.kr,ME,REN_HOME,"환경부는 환경오염과 환경훼손을 예방하고 환경을 적정하고 지속가능하게 관리 · 보전함으로써 모든 국민이 건강하고 쾌적한 삶을 누릴 수 있도록 환경보전과 관련한 다양한 기본계획 및 중장기종합 계획의 수립과 집행, 환경 교육과 홍보활동을 하며 나아가 지구환경 보전에도 기여하여 하나뿐인 지구를 보전하는 것을 주요 업무로 하는 중앙행정기관이다.",14,환경부.png,2017-12-01,2017-12-01,107,107,Y,N,환경부
22,4,2,International,http://www.iea.org/,IEA(International Energy Agency),REN_HOME,International Energy Agency,22,IEA.png,2017-12-01,2017-12-01,107,107,Y,N,국제에너지기구
23,4,2,International,http://www.iea.org/,IEA(International Energy Agency),REN_HOME,"The IEA works to ensure reliable, affordable and clean energy for its 29 member countries and beyond. Our mission is guided by four main areas of focus: energy security, economic development, environmental awareness and engagement worldwide.",23,IEA.png,2017-12-01,,107,,Y,Y,국제에너지기구
24,4,2,International,http://www.caddet-re.org/,IEA/CADDET Renewable Energy,REN_HOME,Center for the Analysis and Dessemination of Demonstrated Energy Technologies,24,iea_caddet.png,2017-12-01,2020-02-05 16:54,107,41,N,N,신 재생 에너지에 대한 국제 정보
25,4,2,International ,http://www.oecd.org/,OECD,REN_HOME,Organization for Economic Cooperation and Development,25,oecd.png,2017-12-01,2017-12-01,107,107,Y,N,OECD
26,1,2,United States,https://www.energy.gov/,DOE,REN_HOME,United States Department of Energy,26,doe.png,2017-12-01,,107,,Y,N,DOE
27,3,2,USA,https://energy.gov,EREN,REN_HOME,"Energy Efficiency and Renewable Energy Network, USA",27,eren.png,2017-12-01,,107,,Y,N,EREN
29,1,2,JAPAN,http://www.nedo.go.jp/,NEDO,REN_HOME,"New Energy and Industrial Technology Development Organization, Japan",29,NEDO.png,2017-12-01,,107,,Y,N,NEDO
30,1,2,JAPAN,http://www.nef.or.jp/,NEF,REN_HOME,"New Energy Foundation, Japan",30,NEF.png,2017-12-01,2017-12-01,107,107,Y,N,NEF
32,4,2,Asia,http://www.apec.org/,APEC,REN_HOME,Asia-Pacific Economic Cooperation,32,APEC.png,2017-12-01,,107,,Y,N,APEC
34,3,2,Stockholm,http://www.energimyndigheten.se/,SEA,REN_HOME,Swedish Energy Agency,34,SEA.png,2017-12-01,,107,,Y,N,SEA
35,5,2,French ,http://www.ademe.fr/,ADEME,REN_HOME,French Agency for Environment and Energy Management,35,ADEME.png,2017-12-01,,107,,Y,N,ADEME
33,5,2,United Kingdom,http://www.future-energy-solutions.com/,FES,REN_HOME,"Future Energy Solutions, United Kingdom",33,FES.png,2017-12-01,,107,,Y,N,FES
1,3,1,대한민국 2,http:/www.energy.or.kr 5,kongdan 4,REN_HOME,한국에너지 공단333,1,Chrysanthemum.jpg,2017-10-01,2017-11-01,56,55,Y,Y,공단 3
28,1,2,USA,https://www.nrel.gov/,NREL,REN_HOME,"National Renewable Energy Laboratory, USA",28,nrel.png,2017-12-01,,107,,Y,N,NREL
31,3,2,JAPAN,https://www.eccj.or.jp/,ECCJ,REN_HOME,"The Energy Conservation Center, Japan",31,ECCJ.png,2017-12-01,,107,,Y,N,ECCJ
